Motion Sensor Data File Thu, Oct 07, 2021 9:39 AM
Time (s)	Distance (cm)	Dist Error (cm)
14.490	21.871	0.239
14.500	21.619	0.239
14.510	21.349	0.239
14.520	21.083	0.239
14.530	20.805	0.239
14.540	20.536	0.239
14.550	20.274	0.239
14.560	20.000	0.239
14.570	19.743	0.239
14.580	19.482	0.239
14.590	19.243	0.239
14.600	19.003	0.239
14.610	18.794	0.239
14.620	18.597	0.239
14.630	18.405	0.239
14.640	18.230	0.239
14.650	18.094	0.239
14.660	17.974	0.239
14.670	17.859	0.239
14.680	17.783	0.239
14.690	17.750	0.239
14.700	17.712	0.239
14.710	17.713	0.239
14.720	17.728	0.239
14.730	17.776	0.239
14.740	17.781	0.239
14.750	17.933	0.239
14.760	18.055	0.239
14.770	18.180	0.239
14.780	18.341	0.239
14.790	18.523	0.239
14.800	18.721	0.239
14.810	18.929	0.239
14.820	19.154	0.239
14.830	19.404	0.239
14.840	19.638	0.239
14.850	19.914	0.239
14.860	20.169	0.239
14.870	20.437	0.239
14.880	20.717	0.239
14.890	20.989	0.239
14.900	21.266	0.239
14.910	21.525	0.239
14.920	21.788	0.239
14.930	22.034	0.239
14.940	22.280	0.239
14.950	22.510	0.239
14.960	22.717	0.239
14.970	22.921	0.239
14.980	23.089	0.239
14.990	23.254	0.239
15.000	23.397	0.239
15.010	23.506	0.239
15.020	23.606	0.239
15.030	23.667	0.239
15.040	23.715	0.239
15.050	23.730	0.239
15.060	23.731	0.239
15.070	23.706	0.239
15.080	23.647	0.239
15.090	23.575	0.239
15.100	23.469	0.239
15.110	23.350	0.239
15.120	23.200	0.239
15.130	23.038	0.239
15.140	22.863	0.239
15.150	22.654	0.239
15.160	22.440	0.239
15.170	22.204	0.239
15.180	21.965	0.239
15.190	21.704	0.239
15.200	21.447	0.239
15.210	21.186	0.239
15.220	20.907	0.239
15.230	20.642	0.239
15.240	20.364	0.239
15.250	20.103	0.239
15.260	19.833	0.239
15.270	19.580	0.239
15.280	19.341	0.239
15.290	19.097	0.239
15.300	18.879	0.239
15.310	18.665	0.239
