Motion Sensor Data File Thu, Oct 07, 2021 10:31 AM
Time (s)	Distance (cm)	Dist Error (cm)
7.490	21.113	0.239
7.500	21.157	0.239
7.510	21.210	0.239
7.520	21.263	0.239
7.530	21.294	0.239
7.540	21.334	0.239
7.550	21.353	0.239
7.560	21.384	0.239
7.570	21.411	0.239
7.580	21.412	0.239
7.590	21.426	0.239
7.600	21.419	0.239
7.610	21.420	0.239
7.620	21.404	0.239
7.630	21.392	0.239
7.640	21.376	0.239
7.650	21.343	0.239
7.660	21.314	0.239
7.670	21.268	0.239
7.680	21.235	0.239
7.690	21.180	0.239
7.700	21.134	0.239
7.710	21.088	0.239
7.720	21.025	0.239
7.730	20.970	0.239
7.740	20.902	0.239
7.750	20.843	0.239
7.760	20.772	0.239
7.770	20.713	0.239
7.780	20.653	0.239
7.790	20.586	0.239
7.800	20.527	0.239
7.810	20.459	0.239
7.820	20.405	0.239
7.830	20.341	0.239
7.840	20.295	0.239
7.850	20.249	0.239
7.860	20.195	0.239
7.870	20.161	0.239
7.880	20.115	0.239
7.890	20.086	0.239
7.900	20.053	0.239
7.910	20.037	0.239
7.920	20.026	0.239
7.930	20.009	0.239
7.940	20.006	0.239
7.950	20.003	0.239
7.960	20.013	0.239
7.970	20.019	0.239
7.980	20.045	0.239
7.990	20.072	0.239
8.000	20.095	0.239
8.010	20.135	0.239
8.020	20.166	0.239
8.030	20.215	0.239
8.040	20.255	0.239
8.050	20.312	0.239
8.060	20.373	0.239
8.070	20.422	0.239
8.080	20.487	0.239
8.090	20.540	0.239
8.100	20.610	0.239
8.110	20.667	0.239
8.120	20.737	0.239
8.130	20.807	0.239
8.140	20.864	0.239
8.150	20.930	0.239
8.160	20.983	0.239
8.170	21.044	0.239
8.180	21.106	0.239
8.190	21.154	0.239
8.200	21.207	0.239
8.210	21.242	0.239
8.220	21.287	0.239
8.230	21.318	0.239
8.240	21.353	0.239
8.250	21.380	0.239
8.260	21.395	0.239
8.270	21.413	0.239
8.280	21.414	0.239
8.290	21.424	0.239
8.300	21.412	0.239
8.310	21.409	0.239
8.320	21.398	0.239
8.330	21.369	0.239
8.340	21.348	0.239
8.350	21.311	0.239
8.360	21.278	0.239
8.370	21.232	0.239
8.380	21.190	0.239
8.390	21.148	0.239
8.400	21.085	0.239
8.410	21.034	0.239
8.420	20.967	0.239
8.430	20.912	0.239
8.440	20.844	0.239
8.450	20.785	0.239
8.460	20.726	0.239
8.470	20.655	0.239
8.480	20.596	0.239
8.490	20.523	0.239
8.500	20.469	0.239
8.510	20.401	0.239
8.520	20.347	0.239
8.530	20.301	0.239
8.540	20.241	0.239
8.550	20.200	0.239
8.560	20.149	0.239
8.570	20.116	0.239
8.580	20.075	0.239
8.590	20.050	0.239
8.600	20.034	0.239
8.610	20.005	0.239
8.620	20.002	0.239
8.630	19.986	0.239
8.640	19.991	0.239
8.650	19.988	0.239
8.660	20.007	0.239
8.670	20.029	0.239
8.680	20.044	0.239
8.690	20.079	0.239
8.700	20.102	0.239
8.710	20.146	0.239
8.720	20.182	0.239
8.730	20.234	0.239
8.740	20.291	0.239
8.750	20.336	0.239
8.760	20.401	0.239
8.770	20.454	0.239
8.780	20.520	0.239
8.790	20.577	0.239
8.800	20.647	0.239
8.810	20.717	0.239
8.820	20.774	0.239
8.830	20.844	0.239
8.840	20.897	0.239
8.850	20.963	0.239
8.860	21.028	0.239
8.870	21.081	0.239
8.880	21.138	0.239
8.890	21.182	0.239
8.900	21.231	0.239
8.910	21.266	0.239
8.920	21.310	0.239
8.930	21.346	0.239
8.940	21.365	0.239
8.950	21.396	0.239
8.960	21.401	0.239
8.970	21.420	0.239
8.980	21.417	0.239
8.990	21.418	0.239
9.000	21.419	0.239
9.010	21.399	0.239
9.020	21.383	0.239
9.030	21.354	0.239
9.040	21.329	0.239
9.050	21.287	0.239
9.060	21.254	0.239
9.070	21.217	0.239
9.080	21.162	0.239
9.090	21.116	0.239
9.100	21.052	0.239
9.110	20.998	0.239
9.120	20.930	0.239
9.130	20.876	0.239
9.140	20.817	0.239
9.150	20.744	0.239
9.160	20.686	0.239
9.170	20.614	0.239
9.180	20.555	0.239
9.190	20.487	0.239
9.200	20.432	0.239
9.210	20.378	0.239
9.220	20.314	0.239
9.230	20.268	0.239
9.240	20.214	0.239
9.250	20.172	0.239
9.260	20.126	0.239
9.270	20.093	0.239
9.280	20.068	0.239
9.290	20.035	0.239
9.300	20.023	0.239
9.310	19.998	0.239
9.320	19.995	0.239
9.330	19.988	0.239
9.340	19.994	0.239
9.350	20.007	0.239
9.360	20.017	0.239
9.370	20.040	0.239
9.380	20.059	0.239
9.390	20.099	0.239
9.400	20.125	0.239
9.410	20.170	0.239
9.420	20.222	0.239
9.430	20.262	0.239
9.440	20.319	0.239
9.450	20.368	0.239
9.460	20.434	0.239
9.470	20.499	0.239
9.480	20.552	0.239
9.490	20.622	0.239
9.500	20.679	0.239
9.510	20.749	0.239
9.520	20.806	0.239
9.530	20.872	0.239
9.540	20.942	0.239
9.550	20.990	0.239
9.560	21.056	0.239
9.570	21.101	0.239
9.580	21.157	0.239
9.590	21.197	0.239
9.600	21.246	0.239
9.610	21.290	0.239
9.620	21.317	0.239
9.630	21.348	0.239
9.640	21.367	0.239
9.650	21.389	0.239
9.660	21.395	0.239
9.670	21.405	0.239
9.680	21.410	0.239
9.690	21.399	0.239
9.700	21.391	0.239
9.710	21.367	0.239
9.720	21.350	0.239
9.730	21.317	0.239
9.740	21.288	0.239
9.750	21.255	0.239
9.760	21.209	0.239
9.770	21.167	0.239
9.780	21.108	0.239
9.790	21.062	0.239
9.800	20.995	0.239
9.810	20.940	0.239
9.820	20.885	0.239
9.830	20.818	0.239
9.840	20.759	0.239
9.850	20.687	0.239
9.860	20.628	0.239
9.870	20.556	0.239
9.880	20.501	0.239
9.890	20.446	0.239
9.900	20.379	0.239
9.910	20.329	0.239
9.920	20.269	0.239
9.930	20.223	0.239
9.940	20.173	0.239
9.950	20.136	0.239
9.960	20.107	0.239
9.970	20.065	0.239
9.980	20.044	0.239
9.990	20.016	0.239
10.000	20.008	0.239
10.010	19.988	0.239
10.020	19.989	0.239
10.030	19.999	0.239
